DATE,OPEN,HIGH,LOW,CLOSE
01/03/2006,3.630000,3.630000,3.630000,3.630000
01/04/2006,2.890000,2.890000,2.890000,2.890000
01/05/2006,4.950000,4.950000,4.950000,4.950000
01/06/2006,5.070000,5.070000,5.070000,5.070000
01/09/2006,5.130000,5.130000,5.130000,5.130000
01/10/2006,4.770000,4.770000,4.770000,4.770000
01/11/2006,4.750000,4.750000,4.750000,4.750000
01/12/2006,3.480000,3.480000,3.480000,3.480000
01/13/2006,3.180000,3.180000,3.180000,3.180000
01/17/2006,4.970000,4.970000,4.970000,4.970000
01/18/2006,5.000000,5.000000,5.000000,5.000000
01/19/2006,4.750000,4.750000,4.750000,4.750000
01/20/2006,7.390000,7.390000,7.390000,7.390000
01/23/2006,7.250000,7.250000,7.250000,7.250000
01/24/2006,6.390000,6.390000,6.390000,6.390000
01/25/2006,6.310000,6.310000,6.310000,6.310000
01/26/2006,5.590000,5.590000,5.590000,5.590000
01/27/2006,5.970000,5.970000,5.970000,5.970000
01/30/2006,5.840000,5.840000,5.840000,5.840000
01/31/2006,6.180000,6.180000,6.180000,6.180000
02/01/2006,5.000000,5.000000,5.000000,5.000000
02/02/2006,6.910000,6.910000,6.910000,6.910000
02/03/2006,4.670000,4.670000,4.670000,4.670000
02/06/2006,6.470000,6.470000,6.470000,6.470000
02/07/2006,6.400000,6.400000,6.400000,6.400000
02/08/2006,6.550000,6.550000,6.550000,6.550000
02/09/2006,6.660000,6.660000,6.660000,6.660000
02/10/2006,5.230000,5.230000,5.230000,5.230000
02/13/2006,5.510000,5.510000,5.510000,5.510000
02/14/2006,4.840000,4.840000,4.840000,4.840000
02/15/2006,5.810000,5.810000,5.810000,5.810000
02/16/2006,5.800000,5.800000,5.800000,5.800000
02/17/2006,7.340000,7.340000,7.340000,7.340000
02/21/2006,7.280000,7.280000,7.280000,7.280000
02/22/2006,6.610000,6.610000,6.610000,6.610000
02/23/2006,6.990000,6.990000,6.990000,6.990000
02/24/2006,6.420000,6.420000,6.420000,6.420000
02/27/2006,6.310000,6.310000,6.310000,6.310000
02/28/2006,6.110000,6.110000,6.110000,6.110000
03/01/2006,6.600000,6.600000,6.600000,6.600000
03/02/2006,6.080000,6.080000,6.080000,6.080000
03/03/2006,5.810000,5.810000,5.810000,5.810000
03/06/2006,6.310000,6.310000,6.310000,6.310000
03/07/2006,5.800000,5.800000,5.800000,5.800000
03/08/2006,5.450000,5.450000,5.450000,5.450000
03/09/2006,4.890000,4.890000,4.890000,4.890000
03/10/2006,3.090000,3.090000,3.090000,3.090000
03/13/2006,3.870000,3.870000,3.870000,3.870000
03/14/2006,3.660000,3.660000,3.660000,3.660000
03/15/2006,4.960000,4.960000,4.960000,4.960000
03/16/2006,4.840000,4.840000,4.840000,4.840000
03/17/2006,6.220000,6.220000,6.220000,6.220000
03/20/2006,6.470000,6.470000,6.470000,6.470000
03/21/2006,6.030000,6.030000,6.030000,6.030000
03/22/2006,5.480000,5.480000,5.480000,5.480000
03/23/2006,4.890000,4.890000,4.890000,4.890000
03/24/2006,5.030000,5.030000,5.030000,5.030000
03/27/2006,3.980000,3.980000,3.980000,3.980000
03/28/2006,4.540000,4.540000,4.540000,4.540000
03/29/2006,4.280000,4.280000,4.280000,4.280000
03/30/2006,4.110000,4.110000,4.110000,4.110000
03/31/2006,4.060000,4.060000,4.060000,4.060000
04/03/2006,3.310000,3.310000,3.310000,3.310000
04/04/2006,4.420000,4.420000,4.420000,4.420000
04/05/2006,3.780000,3.780000,3.780000,3.780000
04/06/2006,5.550000,5.550000,5.550000,5.550000
04/07/2006,5.480000,5.480000,5.480000,5.480000
04/10/2006,4.770000,4.770000,4.770000,4.770000
04/11/2006,6.220000,6.220000,6.220000,6.220000
04/12/2006,6.010000,6.010000,6.010000,6.010000
04/13/2006,4.960000,4.960000,4.960000,4.960000
04/17/2006,4.160000,4.160000,4.160000,4.160000
04/18/2006,4.190000,4.190000,4.190000,4.190000
04/19/2006,4.310000,4.310000,4.310000,4.310000
04/20/2006,5.400000,5.400000,5.400000,5.400000
04/21/2006,5.340000,5.340000,5.340000,5.340000
04/24/2006,5.890000,5.890000,5.890000,5.890000
04/25/2006,6.310000,6.310000,6.310000,6.310000
04/26/2006,6.360000,6.360000,6.360000,6.360000
04/27/2006,6.290000,6.290000,6.290000,6.290000
04/28/2006,6.500000,6.500000,6.500000,6.500000
05/01/2006,6.220000,6.220000,6.220000,6.220000
05/02/2006,6.270000,6.270000,6.270000,6.270000
05/03/2006,6.120000,6.120000,6.120000,6.120000
05/04/2006,6.350000,6.350000,6.350000,6.350000
05/05/2006,6.230000,6.230000,6.230000,6.230000
05/08/2006,6.390000,6.390000,6.390000,6.390000
05/09/2006,6.200000,6.200000,6.200000,6.200000
05/10/2006,5.150000,5.150000,5.150000,5.150000
05/11/2006,6.610000,6.610000,6.610000,6.610000
05/12/2006,7.380000,7.380000,7.380000,7.380000
05/15/2006,6.300000,6.300000,6.300000,6.300000
05/16/2006,7.120000,7.120000,7.120000,7.120000
05/17/2006,8.360000,8.360000,8.360000,8.360000
05/18/2006,7.850000,7.850000,7.850000,7.850000
05/19/2006,10.460000,10.460000,10.460000,10.460000
05/22/2006,9.520000,9.520000,9.520000,9.520000
05/23/2006,9.470000,9.470000,9.470000,9.470000
05/24/2006,9.450000,9.450000,9.450000,9.450000
05/25/2006,8.760000,8.760000,8.760000,8.760000
05/26/2006,7.300000,7.300000,7.300000,7.300000
05/30/2006,8.990000,8.990000,8.990000,8.990000
05/31/2006,6.410000,6.410000,6.410000,6.410000
06/01/2006,7.010000,7.010000,7.010000,7.010000
06/02/2006,7.010000,7.010000,7.010000,7.010000
06/05/2006,4.390000,4.390000,4.390000,4.390000
06/06/2006,5.190000,5.190000,5.190000,5.190000
06/07/2006,4.950000,4.950000,4.950000,4.950000
06/08/2006,7.690000,7.690000,7.690000,7.690000
06/09/2006,5.980000,5.980000,5.980000,5.980000
