date,sym_root,permno,ret_crsp,open_crsp,close_crsp,log_ret_lag_close_to_open
2010-01-04,MSFT,10107,0.01542,30.62,30.95,0.004582711107375299
2010-01-04,XOM,11850,0.014078,68.72,69.15,0.007742044852719282
2010-01-04,GE,12060,0.02115,15.22,15.45,0.005930792270814944
2010-01-04,AAPL,14593,0.015555,213.42999,214.00999,0.012721428110184544
2010-01-04,CAT,18542,0.027373,57.65,58.55,0.011514215447128679
2010-01-04,BA,19561,0.037872,55.72,56.18,0.028950790309888903
2010-01-04,PFE,21936,0.040682,18.27,18.93,0.004388672630047247
2010-01-04,JNJ,22111,0.004192,64.71,64.68,0.004646952406472926
2010-01-04,MRK,22752,0.012863,36.82,37.01,0.007634003671535491
2010-01-04,JPM,47896,0.029518,41.79,42.85,0.0040421629645338054
2010-01-05,MSFT,10107,3.2300000000000004e-4,30.85,30.96,-0.0032363505233994738
2010-01-05,XOM,11850,0.003905,69.19,69.42,5.787283557748182e-4
2010-01-05,GE,12060,0.005178,15.46,15.53,6.470462546715799e-4
2010-01-05,AAPL,14593,0.001729,214.60001,214.38,0.002753242531729652
2010-01-05,CAT,18542,0.011956,58.55,59.25,4.0168768251393205e-7
2010-01-05,BA,19561,0.032752,56.25,58.02,0.001245346261233106
2010-01-05,PFE,21936,-0.014263,18.92,18.66,-5.283260348011125e-4
2010-01-05,JNJ,22111,-0.011596,64.58,63.93,-0.0015477273798203007
2010-01-05,MRK,22752,0.004053,37.3,37.16,0.007805221425008992
2010-01-05,JPM,47896,0.01937,42.79,43.68,-0.00140111159309049
2010-01-06,MSFT,10107,-0.006137,30.88,30.77,-0.002587372963717154
2010-01-06,XOM,11850,0.008643,69.45,70.02,4.3201677870836723e-4
2010-01-06,GE,12060,-0.005151,15.53,15.45,3.216827958651622e-7
2010-01-06,AAPL,14593,-0.015906,214.38,210.97,3.399534906148305e-7
2010-01-06,CAT,18542,0.0030380000000000003,59.18,59.43,-0.0011821078033996796
2010-01-06,BA,19561,0.030334,58.23,59.78,0.003612550514689658
2010-01-06,PFE,21936,-0.003215,18.66,18.6,4.354837761740872e-7
2010-01-06,JNJ,22111,0.008134,63.9,64.45,-4.6927067986905595e-4
2010-01-06,MRK,22752,0.013455,37.21,37.66,0.0013443044616995494
2010-01-06,JPM,47896,0.005494,43.45,43.92,-0.005279982457615103
2010-01-07,MSFT,10107,-0.010335,30.63,30.452,-0.0045605295558971155
2010-01-07,XOM,11850,-0.003142,69.9,69.8,-0.0017153069744349552
2010-01-07,GE,12060,0.05178,15.48,16.25,0.0019399263562860994
2010-01-07,AAPL,14593,-0.0018490000000000002,211.75,210.58,0.0036899935930031513
2010-01-07,CAT,18542,0.004038,59.3,59.67,-0.0021902063714360582
2010-01-07,BA,19561,0.040482,59.51,62.2,-0.004526566761756841
2010-01-07,PFE,21936,-0.003763,18.64,18.53,0.002148671063825816
2010-01-07,JNJ,22111,-0.007137,64.25,63.99,-0.0031076875914771715
2010-01-07,MRK,22752,0.001593,37.47,37.72,-0.005058112438277103
2010-01-07,JPM,47896,0.019809,43.79,44.79,-0.0029640645460706945
2010-01-08,MSFT,10107,0.00683,30.28,30.66,-0.00566466366149874
2010-01-08,XOM,11850,-0.004012,69.69,69.52,-0.0015777151695989767
2010-01-08,GE,12060,0.021538000000000005,16.31,16.6,0.0036850560498446275
2010-01-08,AAPL,14593,0.006648,210.3,211.98,-0.0013308483900682693
2010-01-08,CAT,18542,0.011228,59.25,60.34,-0.007064019815158444
2010-01-08,BA,19561,-0.009646,61.54,61.6,-0.010667324656479666
2010-01-08,PFE,21936,0.008095,18.62,18.68,0.004845250288269374
2010-01-08,JNJ,22111,0.003438,63.92,64.21,-0.001094556759228473
2010-01-08,MRK,22752,-5.3e-4,37.87,37.7,0.003969006960092797
2010-01-08,JPM,47896,-0.002456,44.37,44.68,-0.009421429725440765
2010-01-11,MSFT,10107,-0.01272,30.71,30.27,0.0016296195818947274
2010-01-11,XOM,11850,0.01122,69.94,70.3,0.006023455514487701
2010-01-11,GE,12060,0.009639,16.83,16.76,0.01376075436756595
2010-01-11,AAPL,14593,-0.008822,212.8,210.11,0.0038604101342017503
2010-01-11,CAT,18542,0.062811,60.95,64.13,0.01005886763528821
2010-01-11,BA,19561,-0.011851,61.95,60.87,0.005665382681006715
2010-01-11,PFE,21936,0.00803,18.83,18.83,0.00799793111106206
2010-01-11,JNJ,22111,1.56e-4,64.75,64.22,0.008374999751544598
2010-01-11,MRK,22752,0.003979,37.88,37.85,0.004763393150546505
2010-01-11,JPM,47896,-0.003357,45.12,44.53,0.00979984048934356
2010-01-12,MSFT,10107,-0.006606999999999999,30.15,30.07,-0.0039719966679028365
2010-01-12,XOM,11850,-0.004979,69.72,69.95,-0.008284916978295045
2010-01-12,GE,12060,5.97e-4,16.58,16.77,-0.010797604261574984
2010-01-12,AAPL,14593,-0.011375,209.19,207.72,-0.004388279217644574
2010-01-12,CAT,18542,-0.029471000000000004,63.01,62.24,-0.01761843123130861
2010-01-12,BA,19561,-0.007228,60.07,60.43,-0.013229370062896966
2010-01-12,PFE,21936,-0.003186,18.8,18.77,-0.0015940668662713332
2010-01-12,JNJ,22111,0.005294,64.13,64.56,-0.001402714757147358
2010-01-12,MRK,22752,-0.007926,37.82,37.55,-7.92892685103604e-4
2010-01-12,JPM,47896,-0.023355,43.99,43.49,-0.012200741434468736
2010-01-13,MSFT,10107,0.009312,30.26,30.35,0.00629910147501706
2010-01-13,XOM,11850,-0.004003,69.96,69.67,1.4280765810589617e-4
2010-01-13,GE,12060,0.003578,16.76,16.83,-5.962989630152091e-4
